Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team
37,37,2018-12-29,,HOU,L,104,108,41,92,.446,9,28,.321,13,17,.765,8,45,25,7,5,14,23,,35,81,.432,16,46,.348,22,28,.786,8,39,21,9,7,12,20,NOP
38,38,2018-12-31,,MIN,W,123,114,45,87,.517,14,25,.560,19,21,.905,11,44,28,3,2,15,21,,43,93,.462,9,28,.321,19,23,.826,12,39,29,10,9,7,18,NOP
39,39,2019-01-02,@,BRK,L,121,126,46,87,.529,10,23,.435,19,27,.704,10,41,19,7,5,12,20,,47,93,.505,16,31,.516,16,21,.762,12,43,27,7,5,10,23,NOP
40,40,2019-01-05,@,CLE,W,133,98,47,81,.580,14,27,.519,25,29,.862,10,44,29,13,7,14,18,,36,88,.409,12,33,.364,14,18,.778,10,34,22,12,3,17,23,NOP
41,41,2019-01-07,,MEM,W,114,95,44,79,.557,6,17,.353,20,29,.690,5,40,27,13,4,14,18,,35,78,.449,10,30,.333,15,18,.833,6,36,28,5,7,18,23,NOP
42,42,2019-01-09,,CLE,W,140,124,46,84,.548,12,29,.414,36,39,.923,11,44,33,7,7,16,21,,42,88,.477,14,30,.467,26,30,.867,9,31,27,7,3,13,30,NOP
43,43,2019-01-12,@,MIN,L,106,110,40,87,.460,5,24,.208,21,24,.875,10,48,22,7,8,15,20,,40,93,.430,11,39,.282,19,24,.792,15,50,23,7,5,13,20,NOP
44,44,2019-01-14,@,LAC,W,121,117,46,105,.438,8,25,.320,21,28,.750,15,49,28,8,7,6,19,,41,86,.477,18,36,.500,17,24,.708,8,50,34,4,7,16,21,NOP
45,45,2019-01-16,@,GSW,L,140,147,47,98,.480,19,37,.514,27,33,.818,7,49,36,6,5,10,23,,49,102,.480,24,49,.490,25,31,.806,10,57,33,8,5,10,24,NOP
46,46,2019-01-18,@,POR,L,112,128,41,84,.488,8,25,.320,22,27,.815,7,41,23,4,6,12,24,,48,103,.466,11,34,.324,21,26,.808,18,53,30,8,3,6,22,NOP
47,47,2019-01-21,@,MEM,W,105,85,39,74,.527,9,26,.346,18,26,.692,7,50,19,8,7,19,17,,33,88,.375,9,35,.257,10,17,.588,10,35,21,10,1,11,19,NOP
48,48,2019-01-23,,DET,L,94,98,42,91,.462,6,22,.273,4,9,.444,8,49,20,3,9,12,18,,36,89,.404,13,39,.333,13,19,.684,9,49,24,5,3,9,15,NOP
49,49,2019-01-24,@,OKC,L,116,122,49,101,.485,10,36,.278,8,12,.667,8,42,34,7,6,12,16,,50,101,.495,14,32,.438,8,16,.500,14,57,33,8,2,14,15,NOP
50,50,2019-01-26,,SAS,L,114,126,45,96,.469,7,27,.259,17,24,.708,10,41,26,6,6,8,18,,47,91,.516,11,24,.458,21,25,.840,9,51,30,5,3,9,19,NOP
51,51,2019-01-29,@,HOU,W,121,116,46,90,.511,9,31,.290,20,25,.800,13,55,27,8,9,17,17,,40,101,.396,19,56,.339,17,24,.708,15,45,22,11,5,12,20,NOP
52,52,2019-01-30,,DEN,L,99,105,37,89,.416,15,36,.417,10,13,.769,8,48,27,4,4,14,20,,42,89,.472,9,30,.300,12,19,.632,6,43,31,10,7,9,17,NOP
53,53,2019-02-02,@,SAS,L,108,113,43,96,.448,10,35,.286,12,12,1.000,5,42,26,6,4,8,16,,44,92,.478,9,23,.391,16,18,.889,10,50,29,5,2,11,16,NOP
54,54,2019-02-04,,IND,L,107,109,39,90,.433,9,38,.237,20,24,.833,13,55,26,6,4,16,19,,41,91,.451,10,28,.357,17,24,.708,8,43,25,5,3,9,17,NOP
55,55,2019-02-06,@,CHI,W,125,120,45,85,.529,15,35,.429,20,30,.667,14,46,26,1,6,11,18,,45,91,.495,16,36,.444,14,19,.737,9,36,27,8,6,8,23,NOP
56,56,2019-02-08,,MIN,W,122,117,43,91,.473,9,30,.300,27,28,.964,8,45,27,11,7,11,21,,46,91,.505,9,21,.429,16,22,.727,10,49,22,6,8,15,20,NOP
57,57,2019-02-09,@,MEM,L,90,99,34,86,.395,6,33,.182,16,27,.593,17,52,25,6,5,15,22,,38,88,.432,8,29,.276,15,18,.833,10,45,27,6,2,10,24,NOP
58,58,2019-02-12,,ORL,L,88,118,36,94,.383,10,29,.345,6,8,.750,8,42,21,5,8,14,16,,42,95,.442,13,32,.406,21,22,.955,12,58,32,9,8,10,14,NOP
59,59,2019-02-14,,OKC,W,131,122,50,92,.543,12,26,.462,19,24,.792,13,51,35,7,7,14,15,,50,106,.472,10,44,.227,12,13,.923,17,48,27,8,6,13,21,NOP
60,60,2019-02-22,@,IND,L,111,126,43,93,.462,8,27,.296,17,30,.567,14,51,25,5,5,17,25,,44,93,.473,14,32,.438,24,35,.686,13,48,28,10,5,11,24,NOP
61,61,2019-02-23,,LAL,W,128,115,50,96,.521,15,40,.375,13,16,.813,9,41,31,14,4,17,21,,44,81,.543,10,29,.345,17,26,.654,6,39,33,10,3,23,21,NOP
62,62,2019-02-25,,PHI,L,110,111,44,104,.423,5,28,.179,17,24,.708,14,54,29,15,8,13,19,,44,101,.436,10,31,.323,13,19,.684,15,58,23,9,8,19,19,NOP
63,63,2019-02-27,@,LAL,L,119,125,46,102,.451,7,35,.200,20,27,.741,14,52,31,6,3,13,27,,49,94,.521,8,25,.320,19,31,.613,6,39,37,7,8,8,22,NOP
64,64,2019-03-01,@,PHO,W,130,116,50,87,.575,16,27,.593,14,20,.700,10,50,34,13,4,24,18,,40,94,.426,12,34,.353,24,28,.857,12,39,25,17,2,19,21,NOP
65,65,2019-03-02,@,DEN,W,120,112,45,92,.489,12,30,.400,18,26,.692,12,47,28,10,4,21,25,,39,92,.424,9,32,.281,25,29,.862,10,44,25,13,7,16,22,NOP
66,66,2019-03-04,@,UTA,W,115,112,46,96,.479,9,20,.450,14,18,.778,12,44,24,12,5,8,20,,43,92,.467,14,38,.368,12,14,.857,13,47,35,3,6,18,17,NOP
67,67,2019-03-06,,UTA,L,104,114,41,89,.461,9,24,.375,13,20,.650,7,41,17,6,4,17,23,,46,88,.523,8,30,.267,14,22,.636,9,45,31,9,8,20,20,NOP
68,68,2019-03-08,,TOR,L,104,127,43,105,.410,10,39,.256,8,13,.615,14,51,28,11,0,17,12,,53,99,.535,13,37,.351,8,9,.889,7,51,31,10,12,16,14,NOP
69,69,2019-03-10,@,ATL,L,116,128,45,101,.446,18,41,.439,8,8,1.000,5,42,29,6,9,8,17,,48,98,.490,17,37,.459,15,18,.833,10,56,30,4,5,9,12,NOP
70,70,2019-03-12,,MIL,L,113,130,46,107,.430,10,47,.213,11,16,.688,13,50,27,3,4,15,23,,48,97,.495,10,36,.278,24,28,.857,5,52,27,5,4,13,20,NOP
71,71,2019-03-15,,POR,L,110,122,45,94,.479,8,30,.267,12,25,.480,14,45,31,7,6,11,23,,43,96,.448,10,27,.370,26,32,.813,17,54,26,7,8,15,18,NOP
72,72,2019-03-16,,PHO,L,136,138,47,102,.461,15,30,.500,27,41,.659,18,57,34,11,4,22,30,,51,100,.510,9,29,.310,27,36,.750,11,48,31,10,7,22,33,NOP
73,73,2019-03-18,@,DAL,W,129,125,49,104,.471,12,39,.308,19,22,.864,14,55,34,7,6,17,28,,46,105,.438,9,35,.257,24,29,.828,14,50,27,9,6,15,26,NOP
74,74,2019-03-20,@,ORL,L,96,119,38,102,.373,10,34,.294,10,13,.769,14,49,24,9,2,13,15,,46,102,.451,15,38,.395,12,14,.857,20,65,28,8,10,14,14,NOP
75,75,2019-03-24,,HOU,L,90,113,38,92,.413,7,28,.250,7,10,.700,15,44,26,9,3,15,9,,42,86,.488,21,49,.429,8,9,.889,13,50,24,10,5,17,16,NOP
76,76,2019-03-26,,ATL,L,120,130,39,83,.470,12,34,.353,30,40,.750,8,45,28,10,6,24,23,,44,97,.454,19,51,.373,23,26,.885,9,41,30,13,4,16,26,NOP
77,77,2019-03-28,,SAC,W,121,118,49,97,.505,9,28,.321,14,14,1.000,8,45,27,6,6,12,16,,47,95,.495,10,23,.435,14,16,.875,8,44,28,6,10,12,19,NOP
78,78,2019-03-31,,LAL,L,102,130,38,83,.458,8,31,.258,18,21,.857,5,45,19,5,1,24,16,,48,101,.475,15,38,.395,19,22,.864,11,46,30,16,5,10,20,NOP
79,79,2019-04-03,,CHO,L,109,115,40,85,.471,15,41,.366,14,17,.824,7,48,25,7,4,19,27,,38,90,.422,12,34,.353,27,32,.844,11,48,19,13,5,11,15,NOP
80,80,2019-04-05,@,PHO,L,126,133,49,101,.485,8,23,.348,20,27,.741,15,53,28,4,4,15,21,,51,104,.490,14,36,.389,17,21,.810,13,46,27,12,11,7,18,NOP
81,81,2019-04-07,@,SAC,W,133,129,52,101,.515,19,42,.452,10,12,.833,14,55,28,4,11,15,16,,50,109,.459,16,40,.400,13,17,.765,16,47,27,10,4,6,13,NOP
82,82,2019-04-09,,GSW,L,103,112,44,99,.444,9,33,.273,6,10,.600,7,42,29,9,1,10,15,,43,89,.483,12,30,.400,14,21,.667,11,58,25,8,3,14,17,NOP
1,1,2018-10-17,,ATL,W,126,107,45,99,.455,12,33,.364,24,31,.774,10,46,21,12,6,15,23,,41,90,.456,10,36,.278,15,18,.833,7,45,19,7,3,24,30,NYK
2,2,2018-10-19,@,BRK,L,105,107,39,97,.402,9,28,.321,18,20,.900,12,36,14,10,1,3,19,,37,75,.493,12,30,.400,21,24,.875,12,55,22,2,6,22,23,NYK
3,3,2018-10-20,,BOS,L,101,103,36,87,.414,12,35,.343,17,27,.630,11,46,23,8,1,16,25,,33,82,.402,9,25,.360,28,33,.848,11,47,21,8,2,15,26,NYK
4,4,2018-10-22,@,MIL,L,113,124,45,99,.455,10,29,.345,13,15,.867,11,43,22,6,2,11,21,,45,96,.469,17,40,.425,17,24,.708,19,55,27,5,9,14,18,NYK
5,5,2018-10-24,@,MIA,L,87,110,33,91,.363,12,33,.364,9,14,.643,10,45,20,5,3,12,23,,39,82,.476,13,29,.448,19,28,.679,4,51,24,7,5,13,15,NYK
6,6,2018-10-26,,GSW,L,100,128,39,90,.433,13,39,.333,9,12,.750,11,40,17,6,1,19,18,,51,87,.586,16,33,.485,10,12,.833,6,39,26,10,6,14,16,NYK
7,7,2018-10-29,,BRK,W,115,96,45,92,.489,9,24,.375,16,18,.889,16,53,21,5,3,13,21,,34,84,.405,11,38,.289,17,22,.773,11,32,22,6,7,10,20,NYK
8,8,2018-10-31,,IND,L,101,107,34,79,.430,12,25,.480,21,24,.875,9,35,18,6,6,17,19,,45,83,.542,6,20,.300,11,17,.647,10,41,24,10,10,15,19,NYK
9,9,2018-11-02,@,DAL,W,118,106,46,84,.548,7,29,.241,19,26,.731,10,40,26,13,4,12,24,,40,81,.494,11,29,.379,15,24,.625,11,40,22,6,1,18,28,NYK
10,10,2018-11-04,@,WAS,L,95,108,39,93,.419,5,27,.185,12,16,.750,15,51,19,5,5,18,28,,36,83,.434,6,26,.231,30,39,.769,15,47,21,12,11,13,18,NYK
11,11,2018-11-05,,CHI,L,115,116,41,106,.387,7,26,.269,26,29,.897,21,62,20,7,6,17,27,,43,95,.453,8,30,.267,22,30,.733,11,48,15,9,9,19,22,NYK
12,12,2018-11-07,@,ATL,W,112,107,34,77,.442,11,30,.367,33,47,.702,11,48,15,8,7,16,30,,37,92,.402,11,38,.289,22,29,.759,15,45,26,5,9,17,30,NYK
13,13,2018-11-10,@,TOR,L,112,128,44,96,.458,6,22,.273,18,22,.818,16,47,18,12,6,14,26,,42,79,.532,14,35,.400,30,40,.750,12,46,24,8,4,15,20,NYK
14,14,2018-11-11,,ORL,L,89,115,31,88,.352,5,28,.179,22,30,.733,13,54,13,4,15,19,21,,44,98,.449,17,42,.405,10,11,.909,10,52,31,10,9,11,21,NYK
15,15,2018-11-14,@,OKC,L,103,128,39,88,.443,7,26,.269,18,23,.783,9,36,18,8,8,18,17,,51,95,.537,16,33,.485,10,12,.833,13,47,32,11,7,16,21,NYK
16,16,2018-11-16,@,NOP,L,124,129,48,98,.490,11,34,.324,17,24,.708,12,44,15,10,6,13,31,,48,99,.485,10,34,.294,23,32,.719,11,54,27,5,5,15,25,NYK
17,17,2018-11-18,@,ORL,L,117,131,40,87,.460,8,24,.333,29,35,.829,17,42,12,7,2,14,26,,48,84,.571,13,32,.406,22,26,.846,7,35,35,5,6,15,26,NYK
18,18,2018-11-20,,POR,L,114,118,42,83,.506,13,29,.448,17,22,.773,10,42,22,8,5,15,15,,45,95,.474,16,35,.457,12,17,.706,14,43,25,8,4,11,19,NYK
19,19,2018-11-21,@,BOS,W,117,109,44,89,.494,15,30,.500,14,17,.824,9,49,25,3,11,17,24,,38,97,.392,10,33,.303,23,32,.719,15,50,30,10,9,8,16,NYK
20,20,2018-11-23,,NOP,W,114,109,41,91,.451,12,33,.364,20,27,.741,12,46,22,9,10,8,26,,40,101,.396,7,28,.250,22,29,.759,20,55,26,5,5,14,22,NYK
21,21,2018-11-25,@,MEM,W,103,98,34,91,.374,8,22,.364,27,32,.844,14,56,17,4,5,7,21,,38,86,.442,11,30,.367,11,19,.579,6,41,27,5,19,7,23,NYK
22,22,2018-11-27,@,DET,L,108,115,36,91,.396,9,27,.333,27,32,.844,13,50,16,5,5,13,31,,38,80,.475,7,24,.292,32,45,.711,7,48,20,5,7,13,26,NYK
23,23,2018-11-28,@,PHI,L,91,117,32,92,.348,6,29,.207,21,22,.955,11,41,14,11,5,13,21,,47,87,.540,12,25,.480,11,16,.688,8,50,34,7,5,16,19,NYK
24,24,2018-12-01,,MIL,W,136,134,51,96,.531,20,34,.588,14,21,.667,6,41,30,5,2,16,23,,46,94,.489,18,42,.429,24,31,.774,10,51,28,11,4,16,25,NYK
25,25,2018-12-03,,WAS,L,107,110,37,90,.411,12,34,.353,21,28,.750,19,55,20,4,5,16,14,,44,92,.478,13,32,.406,9,12,.750,8,38,30,7,8,10,24,NYK
