Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Team,DRB
70,70,2019-03-18,@,OKC,W,116,107,46,0.5185185185185186,0.5432098765432097,9,0.30434782608695654,0.36547085201793733,15,0.26190476190476186,0.9158751696065128,0.35,44,0.6923076923076924,0.65,0.21052631578947367,0.21739130434782608,0.4827586206896552,,38,87,0.437,10,37,0.27,21,27,0.778,13,49,21,4,8,19,17,MIA,0.48275862068965514
71,71,2019-03-20,@,SAS,W,110,105,40,0.3148148148148149,0.5154320987654323,16,0.4347826086956521,0.6950672645739913,14,0.30952380952380953,0.6987788331071914,0.20000000000000004,48,0.42307692307692313,0.30000000000000004,0.2631578947368421,0.30434782608695654,0.41379310344827586,,38,88,0.432,14,34,0.412,15,21,0.714,10,46,30,2,3,8,13,MIA,0.7241379310344828
72,72,2019-03-22,@,MIL,L,87,116,32,0.2962962962962963,0.2407407407407408,11,0.4782608695652174,0.336322869955157,12,0.4285714285714285,0.35142469470827675,0.4,40,0.3076923076923077,0.35000000000000003,0.3157894736842105,0.26086956521739124,0.3103448275862069,,43,85,0.506,17,34,0.5,13,20,0.65,9,52,33,5,5,14,23,MIA,0.31034482758620696
73,73,2019-03-23,@,WAS,W,113,108,44,0.35185185185185186,0.6234567901234568,12,0.5217391304347826,0.3609865470852019,13,0.33333333333333326,0.57123473541384,0.5000000000000001,44,0.6538461538461539,0.25,0.5263157894736842,0.34782608695652173,0.4827586206896552,,41,96,0.427,9,30,0.3,17,23,0.739,21,53,25,5,2,12,20,MIA,0.3793103448275862
74,74,2019-03-26,,ORL,L,99,104,36,0.3148148148148149,0.3734567901234568,10,0.3913043478260869,0.3497757847533633,17,0.38095238095238093,0.7421981004070557,0.20000000000000004,39,0.5,0.5,0.05263157894736842,0.34782608695652173,0.44827586206896547,,37,89,0.416,14,42,0.333,16,23,0.696,15,55,27,5,5,15,19,MIA,0.4137931034482759
75,75,2019-03-28,,DAL,W,105,99,39,0.37037037037037046,0.4320987654320988,7,0.32608695652173914,0.19282511210762338,20,0.5238095238095237,0.6485753052917231,0.4,55,0.46153846153846156,0.35000000000000003,0.21052631578947367,0.30434782608695654,0.44827586206896547,,36,92,0.391,16,47,0.34,11,17,0.647,10,50,26,4,2,13,21,MIA,0.8275862068965517
76,76,2019-03-30,@,NYK,W,100,92,39,0.38888888888888884,0.41666666666666663,9,0.3695652173913043,0.3004484304932737,13,0.2857142857142857,0.6811397557666214,0.6000000000000001,51,0.5384615384615384,0.55,0.15789473684210525,0.6521739130434782,0.41379310344827586,,31,77,0.403,9,38,0.237,21,25,0.84,8,42,20,10,7,18,16,MIA,0.5517241379310344
77,77,2019-04-01,@,BOS,L,105,110,40,0.35185185185185186,0.48456790123456794,10,0.4782608695652174,0.2757847533632288,15,0.30952380952380953,0.7734056987788331,0.35,48,0.576923076923077,0.45,0.3157894736842105,0.5217391304347826,0.2758620689655172,,36,91,0.396,17,40,0.425,21,24,0.875,14,49,25,8,2,12,18,MIA,0.6206896551724138
78,78,2019-04-03,,BOS,L,102,112,39,0.4814814814814814,0.3487654320987653,12,0.4565217391304347,0.41704035874439477,12,0.3571428571428571,0.457259158751696,0.7000000000000001,47,0.5,0.30000000000000004,0.2631578947368421,0.5217391304347826,0.4827586206896552,,38,80,0.475,9,24,0.375,27,31,0.871,6,42,25,8,7,11,21,MIA,0.34482758620689646
79,79,2019-04-05,@,MIN,L,109,111,45,0.35185185185185186,0.6574074074074073,10,0.4130434782608695,0.3295964125560538,9,0.16666666666666666,0.66078697421981,0.35,38,0.46153846153846156,0.5,0.3157894736842105,0.608695652173913,0.4827586206896552,,43,86,0.5,8,24,0.333,17,21,0.81,9,43,25,10,2,18,18,MIA,0.27586206896551724
