season,week,date,time_et,neutral,away,home,score_away,score_home,first_downs_away,first_downs_home,first_downs_from_passing_away,first_downs_from_passing_home,first_downs_from_rushing_away,first_downs_from_rushing_home,first_downs_from_penalty_away,first_downs_from_penalty_home,third_down_comp_away,third_down_att_away,third_down_comp_home,third_down_att_home,fourth_down_comp_away,fourth_down_att_away,fourth_down_comp_home,fourth_down_att_home,plays_away,plays_home,drives_away,drives_home,yards_away,yards_home,pass_comp_away,pass_att_away,pass_yards_away,pass_comp_home,pass_att_home,pass_yards_home,sacks_num_away,sacks_yards_away,sacks_num_home,sacks_yards_home,rush_att_away,rush_yards_away,rush_att_home,rush_yards_home,pen_num_away,pen_yards_away,pen_num_home,pen_yards_home,redzone_comp_away,redzone_att_away,redzone_comp_home,redzone_att_home,fumbles_away,fumbles_home,interceptions_away,interceptions_home,def_st_td_away,def_st_td_home,possession_away,possession_home
2020,3,2020-09-27,4:25 PM,False,Cowboys,Seahawks,31,38,27,23,20,15,5,4,2,4,7,15,5,13,2,2,1,1,80,70,14,14,522,412,37,57,461,27,40,295,2,11,4,20,21,61,26,117,10,59,5,30,1,1,3,3,1,1,2,0,0,0,27:26,32:34
2020,3,2020-09-27,8:20 PM,False,Packers,Saints,37,30,24,21,14,14,6,5,4,2,5,11,5,11,1,2,1,1,59,58,11,11,369,397,21,32,271,29,36,275,1,12,2,13,26,98,20,122,2,10,8,83,4,5,2,4,0,1,0,0,0,0,31:40,28:20
2020,3,2020-09-28,8:15 PM,False,Chiefs,Ravens,34,20,29,16,22,5,5,8,2,3,10,13,3,9,0,2,0,1,73,53,10,11,517,228,31,42,385,15,28,70,0,0,4,27,31,132,21,158,6,38,6,45,3,3,1,4,1,1,0,0,0,1,33:56,26:04
2020,4,2020-10-01,8:20 PM,False,Broncos,Jets,37,28,21,18,10,11,4,5,7,2,6,12,8,19,0,0,0,2,63,74,13,11,359,321,19,31,242,25,44,192,0,0,6,54,32,117,24,129,8,94,11,118,2,4,0,3,0,0,3,0,0,1,31:39,28:21
2020,4,2020-10-04,1:00 PM,False,Cardinals,Panthers,21,31,21,30,11,17,6,11,4,2,3,9,7,11,0,0,1,1,55,72,9,10,262,444,24,31,133,26,37,276,1,0,0,0,23,129,35,168,5,29,10,72,3,3,4,5,1,0,0,1,0,0,22:52,37:08
2020,4,2020-10-04,1:00 PM,False,Ravens,Commanders,31,17,18,24,10,17,7,6,1,1,5,11,4,13,2,2,2,3,56,70,11,11,350,343,15,23,206,32,45,274,1,2,3,40,32,144,22,69,5,30,2,20,1,1,2,3,0,1,2,0,0,0,29:22,30:38
2020,4,2020-10-04,1:00 PM,False,Chargers,Buccaneers,31,38,15,28,9,20,4,6,2,2,4,10,5,11,1,1,0,0,50,73,11,12,324,484,20,25,278,30,46,369,2,12,0,0,23,46,27,115,7,60,8,90,1,1,4,5,1,0,1,1,2,0,25:05,34:55
2020,4,2020-10-04,1:00 PM,False,Vikings,Texans,31,23,24,20,10,12,14,5,0,3,5,12,3,12,1,1,1,2,65,62,12,10,410,386,16,22,248,20,33,290,3,12,3,10,40,162,26,96,4,36,2,15,4,5,0,3,0,1,0,0,0,0,36:31,23:29
2020,4,2020-10-04,1:00 PM,False,Saints,Lions,35,29,29,18,15,12,13,3,1,3,10,14,7,14,1,1,3,3,69,56,9,9,392,281,19,25,228,17,31,191,2,18,3,15,42,164,22,90,4,67,5,49,4,4,4,5,0,0,1,1,0,0,36:46,23:14
2020,4,2020-10-04,1:00 PM,False,Browns,Cowboys,49,38,33,35,14,29,16,6,3,0,5,11,6,11,0,0,1,2,73,79,13,12,508,566,20,31,201,41,58,481,2,1,3,21,40,307,18,85,5,40,6,65,4,5,2,3,0,2,0,1,0,0,33:32,26:28
2020,4,2020-10-04,1:00 PM,False,Jaguars,Bengals,25,33,25,28,16,15,4,12,5,1,2,10,4,11,1,1,1,1,63,71,10,11,429,505,27,40,340,25,36,300,3,11,1,0,20,89,34,205,6,49,7,73,2,5,1,4,0,0,1,1,0,0,26:49,33:11
2020,4,2020-10-04,1:00 PM,False,Seahawks,Dolphins,31,23,26,25,17,17,8,8,1,0,4,10,7,13,0,1,0,0,62,68,10,10,441,415,24,34,343,29,45,312,2,17,1,3,26,98,22,103,0,0,3,20,4,6,1,3,0,0,1,2,0,0,26:51,33:09
2020,4,2020-10-04,4:05 PM,False,Giants,Rams,9,17,19,15,11,8,7,7,1,0,4,13,5,13,1,2,1,1,66,57,10,10,295,240,23,36,159,25,32,182,5,31,2,18,25,136,23,58,4,20,1,5,0,4,1,2,0,1,1,0,0,0,33:18,26:42
2020,4,2020-10-04,4:25 PM,False,Colts,Bears,19,11,18,16,9,12,5,2,4,2,8,19,4,14,1,2,0,0,68,59,11,11,289,269,16,29,186,26,42,241,1,4,1,8,38,103,16,28,8,76,8,103,1,4,1,2,0,0,0,1,0,0,32:28,27:32
2020,4,2020-10-04,4:25 PM,False,Bills,Raiders,30,23,21,24,14,16,5,7,2,1,7,13,8,14,1,1,1,2,59,69,10,9,337,383,24,34,274,32,44,297,1,14,2,14,24,63,23,86,5,81,7,65,3,4,2,4,0,2,0,0,0,0,28:18,31:42
2020,4,2020-10-04,8:20 PM,False,Eagles,49ers,25,20,18,25,9,20,6,4,3,1,4,13,5,11,2,2,0,1,59,70,10,12,267,417,18,28,174,32,45,301,3,19,5,37,28,93,20,116,3,25,6,42,1,2,2,3,0,1,1,2,2,0,29:29,30:31
2020,4,2020-10-05,7:05 PM,False,Patriots,Chiefs,10,26,21,19,12,12,8,5,1,2,6,15,4,11,2,3,0,0,74,55,11,10,357,323,20,37,172,19,29,229,2,18,1,7,35,185,25,94,4,43,4,38,1,3,2,3,1,1,3,0,0,2,31:34,28:26
2020,4,2020-10-05,9:00 PM,False,Falcons,Packers,16,30,24,22,15,17,8,4,1,1,3,12,6,11,2,4,1,2,68,60,9,9,327,403,28,39,249,27,33,315,4,36,1,12,25,78,26,88,3,23,3,30,2,3,3,4,0,0,0,0,0,0,30:22,29:38
2020,5,2020-10-08,8:20 PM,False,Buccaneers,Bears,19,20,18,18,11,14,4,2,3,2,4,14,3,10,1,2,0,0,64,59,11,11,339,243,25,41,233,30,42,208,3,20,3,35,20,106,14,35,11,109,6,66,1,3,2,3,1,0,0,1,0,0,31:32,28:28
2020,5,2020-10-11,1:00 PM,False,Jaguars,Texans,14,30,22,24,16,16,5,7,1,1,8,16,5,10,1,3,1,1,73,58,10,10,364,486,31,49,289,25,35,357,4,12,1,2,20,75,22,129,4,35,5,25,2,4,1,3,2,0,0,2,0,0,31:59,28:01
2020,5,2020-10-11,1:00 PM,False,Bengals,Ravens,3,27,12,17,9,10,3,6,0,1,3,16,7,15,2,3,0,1,65,62,12,12,205,332,19,30,135,19,37,171,7,48,1,9,28,70,24,161,5,40,4,25,0,1,2,2,2,0,1,1,0,2,34:39,25:21
2020,5,2020-10-11,1:00 PM,False,Rams,Commanders,30,10,20,10,11,5,7,2,2,3,6,15,2,13,0,1,0,1,66,52,13,13,429,108,21,30,300,18,30,70,1,9,8,41,35,129,14,38,5,60,3,40,3,4,1,1,0,0,1,0,0,0,35:35,24:25
2020,5,2020-10-11,1:00 PM,False,Cardinals,Jets,30,10,28,21,17,8,9,9,2,4,5,12,4,13,1,1,0,2,68,64,11,11,496,285,27,37,369,18,33,162,1,11,3,33,30,127,28,123,10,59,6,30,2,2,1,3,0,0,1,0,0,0,32:15,27:45
2020,5,2020-10-11,1:00 PM,False,Raiders,Chiefs,40,32,22,21,12,15,8,3,2,3,7,14,6,14,2,2,1,2,67,66,12,11,490,413,22,31,346,22,43,333,1,1,3,7,35,144,20,80,8,59,10,94,3,3,4,5,0,0,1,1,0,0,35:18,24:42
